Item,name,Actual Name of Item on Website,Label1,Label2,Patch,Picture of Item (Precise),Cartoon Picture (Animated),Market Price,Value of Item,Link to Item
1,Toothpaste,"Colgate Total Advanced Whitening Toothpaste with Fluoride, Multi Benefit Toothpaste with Sensitivity Relief and Cavity Protection - 5.1 ounce",daily necessity,health,1,,,6.27,LOW,https://www.amazon.com/dp/B07L5RWJ9H?ref_=cm_sw_r_cp_ud_dp_K29XAXP9F781NATA7XRD
2,Dry-Erase Marker,"Black Chisel Tip Dry Erase Markers Low Odor, Perfect for School, Office, and Home (Variation Pack Sizes) - 3 Pack",office supplies,,1,,,2.99,LOW,https://www.amazon.com/Chisel-Markers-Perfect-School-Variation/dp/B09CF267MT/ref=sr_1_2_sspa?crid=9UA6O7L28HCS&keywords=black+expo+marker&qid=1656342067&sprefix=black+expo+marker%2Caps%2C113&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzT0lRWEJEUlUxNlYwJmVuY3J5cHRlZElkPUEwNDA0NDU3UDRUOTY3TjFVWDM1JmVuY3J5cHRlZEFkSWQ9QTA1NjI0MTdLQk9PRTQ3OTM2RjQmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
3,Hand Soap,Softsoap Aquarium Hand Soap,daily necessity,health,1,,,5.1,LOW,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Hand-Soap/dp/B00006IC2G/ref=sr_1_7?crid=14SMLDUPJ9XIF&keywords=soft-soap+aquarium&qid=1656338739&sprefix=soft-soap+aquarium%2Caps%2C183&sr=8-7
4,Umbrella,"totes Auto Open Wooden Handle J Stick Umbrella, Black",daily necessities,,1,,,23.0,LOW,https://www.amazon.com/Totes-Wooden-Handle-Stick-Umbrella/dp/B005FOJAR0/ref=sr_1_7?crid=12N96H3U5MNH5&keywords=black+umbrella&qid=1656340476&sprefix=black+umbrella+%2Caps%2C64&sr=8-7
5,Candle,"Jar Candle, 8oz Soy Wax Candle(1 Pack), 35 Hours Long Burning Pillar Candle, White Pillar Candle in 10oz Old-Fashioned Whiskey Glass",daily necessities,,1,,,11.98,LOW,https://www.amazon.com/Candle-Burning-Pillar-Old-Fashioned-Whiskey/dp/B09BKTLBZD/ref=sr_1_37?crid=3T6FNE86UDPS3&keywords=white+candle&qid=1656342229&sprefix=white+candle%2Caps%2C74&sr=8-37
6,Notebook,"Five Star Spiral Notebook, 5 Subject, Wide Ruled Paper, 200 Sheets, 10-1/2"" x 8"", Gray (73200)",office supplies,,1,,,11.0,LOW,https://www.amazon.com/Five-Star-Notebook-Subject-73200/dp/B071CR5LXC/ref=sr_1_6?crid=2QANWPP3LMH0S&keywords=grey%2Bnotebook&qid=1656338906&sprefix=grey%2Bnotebook%2Caps%2C179&sr=8-6&th=1
7,Coffee Mug,Corikee 330ML 11.2OZ White Ceramics Mug for Coffee/Tea/Water/Latte,daily necessities ,,1,,,5.39,LOW,"https://www.amazon.com/Corikee-330ML-White-Ceramics-Coffee/dp/B087QKW91B/ref=sr_1_6?crid=194O2DUKPG0IG&keywords=white+coffee+mug&qid=1656339798&sprefix=white+coffee+mug%2Caps%2C72&sr=8-6

"
8,Bookbag,JanSport SuperBreak One Backpack - Lightweight School Bookbag,office supplies,travel,1,,,32.17,MEDIUM,https://www.amazon.com/JanSport-Superbreak-Backpack-Jansport-Black/dp/B0007QCQGI/ref=sr_1_1_sspa?crid=3BO44DFPECTEK&keywords=black+jansport+backpack&qid=1656341403&sprefix=black+jansport+b%2Caps%2C79&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExU0JCM0dYOE1XNFkmZW5jcnlwdGVkSWQ9QTAwMTg2MzhTMldNRUFIWVpUVDkmZW5jcnlwdGVkQWRJZD1BMDAzNzQ5OE5TVEw3QlJMNzFURSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
9,Charging Box (Multi-Plug In),"iClever USB Wall Charger, 40W 8A 4-Port Charging Station with Foldable Plug, USB Power Adapter for iPhone 11 Pro Xs/XS Max/XR/X/8/7,iPad Pro/Air 2/Mini 4/3, Galaxy/Note/Edge, LG, Nexus, HTC, and More",electronic,,1,,,25.99,MEDIUM,https://www.amazon.com/iClever-Charger-Charging-Station-Foldable/dp/B016ZNTUQA
10,Speaker,"Bluetooth Speaker, MusiBaby M88 Bluetooth Speakers, Wireless Speaker, Speakers Bluetooth Wireless,Dual Pairing, Bluetooth 5.0,Loud Stereo Sound,Booming Bass,30H Playtime for Home& Outdoor Party, Black",electronic,,1,,,44.99,MEDIUM,https://www.amazon.com/Bluetooth-MusiBaby-M88-Portable-Waterproof/dp/B08HHZFVYC/ref=sxin_13_pa_sp_search_thematic_sspa?content-id=amzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%3Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5&crid=2JPCP7FQK2GAI&cv_ct_cx=bluetooth+speakers&keywords=bluetooth+speakers&pd_rd_i=B08HHZFVYC&pd_rd_r=e479da74-f382-4025-aaf0-6f7f41cb5243&pd_rd_w=GuL6Z&pd_rd_wg=nViT1&pf_rd_p=b245e49f-68a4-4489-b1f9-81f4034255f5&pf_rd_r=6MYSKMWTC9ZEG74JEW2V&qid=1656342471&sprefix=blue%2Caps%2C79&sr=1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzQTFWNjkzN1ZHMURRJmVuY3J5cHRlZElkPUEwNDc2Mjc1MUdSNFIxM0tKT0U4QyZlbmNyeXB0ZWRBZElkPUEwMjA4ODUyN0tXNTdRMllETlI3JndpZGdldE5hbWU9c3Bfc2VhcmNoX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
11,Wired Earphones,Apple EarPods with Lightning Connector - White,electronic,entertainment,1,,,17.67,MEDIUM,https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_3?crid=1HEANKJTA9JAN&keywords=apple+earphones&qid=1656341304&sprefix=apple+earphone%2Caps%2C71&sr=8-3
12,Small Coffee Machine,"Black+Decker CM1160B 12-Cup Programmable Coffee Maker, Black/Stainless Steel",electronic,food,1,,,34.99,MEDIUM,https://www.amazon.com/BLACK-DECKER-Programmable-Coffeemaker-CM1160B/dp/B01GJOMWVA/ref=sr_1_5?crid=14VD5F01ODUWN&keywords=cheap%2Bcoffee%2Bmaker&qid=1656344907&s=home-garden&sprefix=cheap%2Bcoffee%2Bmake%2Cgarden%2C69&sr=1-5&th=1
13,Head Thermometer,"LPOW Forehead Thermometer for Adults, The Non Contact Infrared Baby Thermometer for Fever, Body Thermometer and Surface Thermometer 2 in 1 Dual Mode Medical Thermometer",electronic,health,1,,,19.99,MEDIUM,https://www.amazon.com/Forehead-Thermometer-Contact-Infrared-Surface/dp/B0861SFPM1/ref=sr_1_3_sspa?crid=2IYOWC5FSXUGQ&keywords=head+thermometer&qid=1656341730&sprefix=head+thermomete%2Caps%2C137&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzTFE5OTg2MUhHTlJRJmVuY3J5cHRlZElkPUEwMDgzOTI1MTVGVlpHNUE5VllQMSZlbmNyeXB0ZWRBZElkPUEwNzAxMDQ4MThOTjZRTkdLUjlQWCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
14,Frying Pan,"Ninja C60026 Foodi NeverStick Stainless 10.25-Inch Fry Pan, Polished Stainless-Steel Exterior, Nonstick, Durable & Oven Safe to 500Â°F, Silver",daily necessities,food,1,,,59.99,MEDIUM,https://www.amazon.com/gp/product/B08WRHX9D4/ref=sw_img_1?smid=ATVPDKIKX0DER&psc=1
15,Blender,"NutriBullet ZNBF30400Z Blender 1200 Watts, 1200W, Dark Gray",electronic,food,1,,,81.69,HIGH,https://www.amazon.com/NutriBullet-ZNBF30400Z-Blender-Watts-1200W/dp/B07VLHW2T8/ref=sr_1_6?crid=3CQKXLJR9AAI1&keywords=nutribullet+blender&qid=1656340599&sprefix=nutribullet+blender%2Caps%2C88&sr=8-6
16,Health Tracking Watch,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",electronic,health,1,,,77.0,HIGH,https://www.amazon.com/Fitbit-Inspire-Fitness-Tracker-Included/dp/B08DFGPTSK/ref=sxin_17_ac_d_rm?ac_md=0-0-Zml0Yml0-ac_d_rm_rm_rm&content-id=amzn1.sym.568df61d-e115-4cb1-a96a-ba070b8f0935%3Aamzn1.sym.568df61d-e115-4cb1-a96a-ba070b8f0935&crid=26FNHRQFGM36I&cv_ct_cx=fitbit&keywords=fitbit&pd_rd_i=B08DFDP1TR&pd_rd_r=f1cd6844-2bb4-4fca-ab64-c56cffbb54a3&pd_rd_w=HloYw&pd_rd_wg=dBak7&pf_rd_p=568df61d-e115-4cb1-a96a-ba070b8f0935&pf_rd_r=VHH1N3KFNXHQ4RH0VVA8&qid=1656340893&sprefix=fitbit%2Caps%2C85&sr=1-1-7d9bfb42-6e38-4445-b604-42cab39e191b&th=1
17,Drone,"WiFi FPV Drone with 1080P HD Camera, 40 Mins Flight Time,Foldable Drone for Beginners,Altitude Hold Mode, RTF One Key Take Off/Landing,3D Flips 2 Batteries, APP Control, Easy Toy for Kids & Adults",electronic,entertainment,1,,,61.99,HIGH,https://www.amazon.com/Foldable-Beginners-Altitude-Landing-Batteries/dp/B0936YKGZY/ref=asc_df_B0936YKGZY/?tag=hyprod-20&linkCode=df0&hvadid=528046393371&hvpos=&hvnetw=g&hvrand=11446571110145863545&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-1428675938837&th=1
18,Robotic Vacuum Cleaner,"Robot Vacuum and Mop Cleaner, 300ML Larger Water Tank, Suction Boost, Daily Schedule, GYRO Navigation, Compatible with Alexa",electronic,cleaning,1,,,99.99,HIGH,https://www.amazon.com/Cleaner-Suction-Schedule-Navigation-Compatible/dp/B08VJ9L6VX/ref=asc_df_B08VJ9L6VX/?tag=hyprod-20&linkCode=df0&hvadid=508010428313&hvpos=&hvnetw=g&hvrand=5582605579349076354&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-1302338010708&th=1
19,Pen,"Pentel Rolling Writer Pen, 0.8 Millimeter Cushion Ball Tip, Blue Ink, Box of 12 (R100-C)",office supplies,,2,,,7.99,LOW,https://www.amazon.com/Pentel-Rolling-Millimeter-Cushion-R100-C/dp/B00006IEAE/ref=sr_1_20?crid=12SZQHDYR88GY&keywords=blue%2Bpen&qid=1656340331&sprefix=blue%2Bpen%2Caps%2C68&sr=8-20&th=1
20,Lighter,Bic Mini Hot Pink Lighters Lot of 4,electronic,,2,,,8.9,LOW,https://www.amazon.com/Bic-Mini-Hot-Pink-Lighters/dp/B00OBL6CEM/ref=sr_1_3?keywords=pink+bic+lighter&qid=1656342180&sr=8-3
21,Spoon,"dearithe Teaspoons Set of 8,Stainless Steel Tea Spoons,Sugar Measuring Coffe Spoon Silverware,6.29 Inches,For Home, Kitchen,Bar, Dishwasher Safe",daily necessity,,2,,,8.99,LOW,https://www.amazon.com/dearithe-Teaspoons-Stainless-Silverware-Dishwasher/dp/B08K2QB2Z2/ref=sr_1_3_sspa?crid=39KPQQSF89890&keywords=silver+spoon&qid=1656345251&sprefix=silver+spoon%2Caps%2C69&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFDR0dRSzZQQkdFTjQmZW5jcnlwdGVkSWQ9QTA0MzA2MTkzT0U3WEhINkRWME82JmVuY3J5cHRlZEFkSWQ9QTA0MzA4MjMyTTNPS0pFN1pPV0VYJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
22,Travel Pillow,"World's Best Feather Soft Microfiber Neck Pillow, Charcoal",travel,,2,,,10.99,LOW,https://www.amazon.com/Worlds-Best-Feather-Microfiber-Charcoal/dp/B00DZKQLZ0/ref=asc_df_B00DZKQLZ0/?tag=hyprod-20&linkCode=df0&hvadid=192270689983&hvpos=&hvnetw=g&hvrand=7663127065736821322&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-303341897968&psc=1
23,Ruler,"Fiskars 01-005358 Back to School Supplies Wood Ruler, 12 Inch",office supplies,,2,,,0.47,LOW,https://www.amazon.com/Fiskars-01-005358-Wooden-Ruler-Inch/dp/B005IZLXPI/ref=asc_df_B005IZLXPI/?tag=hyprod-20&linkCode=df0&hvadid=194007750414&hvpos=&hvnetw=g&hvrand=16420854775108893193&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-310063436853&psc=1
24,Reusable Grocery Shopping Bag,Basic Reusable Tote Bag Red,travel,,2,,,10.0,LOW,https://www.amazon.com/ADK-Packbasket-Multifunctional-Structured-Reusable/dp/B00ODQ4JRW/ref=sr_1_25?crid=16157LO1M322E&keywords=red%2Breusable%2Btote%2Bbag%2Btarget&qid=1656345037&s=home-garden&sprefix=red%2Breusable%2Btote%2Bbag%2Btargetr%2Cgarden%2C45&sr=1-25&th=1
25,Water Bottle,"Takeya Actives Insulated Stainless Steel Water Bottle with Spout Lid, 18 Ounce, Canary",daily necessity,food,2,,,20.7,MEDIUM,https://www.amazon.com/Takeya-51159-Actives-Insulated-Stainless/dp/B07NH4X6R4/ref=sr_1_1_sspa?crid=2DKYDU7NOQGQH&keywords=yellow+water+bottle&qid=1656342368&sprefix=yellow+water+bottle%2Caps%2C67&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEySjREN0VZUkJONTFNJmVuY3J5cHRlZElkPUExMDEzOTU1M1UxOTRGOUFQSTE3RCZlbmNyeXB0ZWRBZElkPUEwNjMxNDk4MUdWUzdBWlowVkVIMSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
26,Binoculars,"20x50 High Power Military Binoculars, Compact HD Professional/Daily Waterproof Binoculars Telescope for Adults Bird Watching Travel Hunting Football Games Stargazing with Carrying Case and Strap",game,entertainment,2,,,46.0,MEDIUM,https://www.amazon.com/Binoculars-Professional-Waterproof-Telescope-Football-BAK4/dp/B08KHCR1YF/ref=sr_1_10?crid=184OW6V24YF&keywords=binocular&qid=1656342559&s=electronics&sprefix=binoclualr%2Celectronics%2C69&sr=1-10
27,Wallet,Mens RFID Blocking Bifold Wallet Soft Genuine Leather Brown Western,daily necessities,,2,,,28.99,MEDIUM,https://www.amazon.com/Bull-Guard-Blocking-Genuine-Leather/dp/B07H2MVRV3/ref=sr_1_1_sspa?crid=3UA6LP9EN2X9Z&keywords=leather+wallet&qid=1656341853&sprefix=leather+wallet%2Caps%2C72&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExNzUySEVDNFpLMjlZJmVuY3J5cHRlZElkPUEwODM1ODA0MUpNMDhXM1JHMDhMWiZlbmNyeXB0ZWRBZElkPUEwNTk2OTM4M0g5U1IxTU9DTUZNVyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
28,Digital Clock,"SICSMIAO Digital Alarm Clock Radio for Bedroom, FM Radio Clock with Sleep Timer, 3-Display Color With Auto-Dimmer, 7 Color Night Light, 2 USB Chargers, Nap Timer, Battery Backup for Bedside/Table/Desk",electronic,,2,,,22.99,MEDIUM,https://www.amazon.com/SICSMIAO-Digital-3-Display-Auto-Dimmer-Chargers/dp/B0B19HC1CC/ref=sr_1_2_sspa?crid=16DCXDGYVJEFN&keywords=digital+alarm+clock&qid=1656341925&sprefix=digital+alarm+clock%2Caps%2C69&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTkcwVFJHSkxZRjlBJmVuY3J5cHRlZElkPUEwMzQ0MDE3MTlTVkdVVktPVkdMSiZlbmNyeXB0ZWRBZElkPUEwNzc5NjU1TkwyQzJTUEMwSUc0JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
29,Wireless Phone Charger,"Anker Wireless Charger, 313 Wireless Charger (Pad), Qi-Certified 10W Max for iPhone 12/12 Pro/12 mini/12 Pro Max, SE 2020, 11, AirPods (No AC Adapter, Not Compatible with MagSafe Magnetic Charging)",electronic,,2,,,16.99,MEDIUM,https://www.amazon.com/Anker-Wireless-PowerWave-Upgraded-Fast-Charging/dp/B07WYCJLS7?th=1
30,Essential Oil Diffuser,"VIVITEST Aromatherapy Diffuser,Ceramic Ultrasonic Essential Oil Diffuser for Aromatherapy (250ML)",daily necessities,,2,,,53.99,MEDIUM,https://www.amazon.com/VIVITEST-Aromatherapy-Diffuser-Ultrasonic-Essential/dp/B08TQPC4VZ/ref=sr_1_12?crid=34XC3Y0G5R7W7&keywords=aromatherapy+diffuser&qid=1656341641&sprefix=aromatherapy+%2Caps%2C71&sr=8-12
31,Water Filter Pitcher,"Brita Standard Everyday Water Filter Pitcher, White, Large 10 Cup, 1 Count",daily necessities,food,2,,,28.99,MEDIUM,https://www.amazon.com/Brita-Pitchers-36205-Everyday-Pitcher/dp/B01FXN3E74/ref=asc_df_B01FXN3E74/?tag=hyprod-20&linkCode=df0&hvadid=167114814898&hvpos=&hvnetw=g&hvrand=2338874313095993260&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-308733862450&th=1
32,Digital Weight Scale,"Vitafit Digital Body Weight Bathroom Scale,Focusing on High Precision Technology for Weighing Over 20 Years, Extra Large Blue Backlit LCD and Step-On, Batteries Included, 400lb/180kg,Clear Glass",electronic,health,2,,,18.99,MEDIUM,https://www.amazon.com/Vitafit-Digital-Bathroom-Weighing-Technology/dp/B0868DGKVM/ref=sr_1_3_sspa?crid=35434CFO3WHJ1&keywords=weight+scale&qid=1656341239&sprefix=weight+scake%2Caps%2C77&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVlNBSExNRklHMTM4JmVuY3J5cHRlZElkPUEwMTMzMzcxM0swV0JEWEJZNTc5UyZlbmNyeXB0ZWRBZElkPUEwMTg0MzY1U0gzM1FZN1c3OEo0JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
33,Large Coffee Machine,"De'Longhi Stilosa Manual Espresso Machine, Latte & Cappuccino Maker, 15 Bar Pump Pressure + Manual Milk Frother Steam Wand, Black / Stainless, EC260BK",electronic,food,2,,,99.95,HIGH,https://www.amazon.com/DeLonghi-Espresso-Cappuccino-Stainless-EC260BK/dp/B08C96BG9H/ref=sr_1_5?crid=23THOP5MTANOT&keywords=espresso%2Bmachine&qid=1656340726&sprefix=espresso%2Caps%2C70&sr=8-5&th=1
34,Watch,Invicta Automatic Pro Diver Stainless Steel Watch,electronic,entertainment,2,,,80.69,HIGH,https://www.amazon.com/Invicta-8926OB-Stainless-Automatic-Bracelet/dp/B000JQFX1G/ref=sr_1_8?qid=1655171398&refinements=p_36%3A6000-10000&rnid=2661611011&s=apparel&sr=1-8&th=1
35,Underwater Camera,Waterproof Camera Underwater Cameras for Snorkeling Full HD 2.7K 48MP Video Recorder Selfie Dual Screens 10FT 16X Digital Zoom Waterproof Digital Camera,electronic,entertainment,2,,,79.99,HIGH,https://www.amazon.com/Waterproof-Underwater-Cameras-Snorkeling-Recorder/dp/B09Z6D3WHS/ref=sr_1_4?crid=20PU4PUU3BZOQ&keywords=waterproof%2Bcamera&qid=1656345466&sprefix=waterproof%2Bcamera%2Caps%2C69&sr=8-4&th=1
36,Kettle,"Cuisinart CPK-17 PerfecTemp Cordless Electric Kettle, 1.7-Liter, Premium Stainless Steel",electronic,food,2,,,99.95,HIGH,https://www.amazon.com/Cuisinart-CPK-17-PerfecTemp-1-7-Liter-Stainless/dp/B003KYSLNQ/ref=sr_1_5?keywords=stainless+kettle&qid=1656341131&sr=8-5
